Method: Quick Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Quick Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Quick Sort, Data Size: 0, Time Taken: 0.000000 seconds
Method: Quick Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Quick Sort, Data Size: 2, Time Taken: 0.000993 seconds
Method: Quick Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Quick Sort, Data Size: 0, Time Taken: 0.000000 seconds
Method: Quick Sort, Data Size: 2, Time Taken: 0.007743 seconds
Method: Quick Sort, Data Size: 0, Time Taken: 0.000000 seconds
Method: Quick Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Quick Sort, Data Size: 2, Time Taken: 0.004409 seconds
Method: Quick Sort, Data Size: 5, Time Taken: 0.015574 seconds
Method: Quick Sort, Data Size: 8, Time Taken: 0.018173 seconds
Method: Quick Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Quick Sort, Data Size: 11, Time Taken: 0.020634 seconds
Method: Quick Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Quick Sort, Data Size: 0, Time Taken: 0.000000 seconds
Method: Quick Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Quick Sort, Data Size: 2, Time Taken: 0.003139 seconds
Method: Quick Sort, Data Size: 0, Time Taken: 0.000000 seconds
Method: Quick Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Quick Sort, Data Size: 2, Time Taken: 0.004376 seconds
Method: Quick Sort, Data Size: 5, Time Taken: 0.010252 seconds
Method: Quick Sort, Data Size: 7, Time Taken: 0.013787 seconds
Method: Quick Sort, Data Size: 0, Time Taken: 0.000000 seconds
Method: Quick Sort, Data Size: 9, Time Taken: 0.016958 seconds
Method: Quick Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Quick Sort, Data Size: 0, Time Taken: 0.000000 seconds
Method: Quick Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Quick Sort, Data Size: 2, Time Taken: 0.001702 seconds
Method: Quick Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Quick Sort, Data Size: 0, Time Taken: 0.000000 seconds
Method: Quick Sort, Data Size: 2, Time Taken: 0.001189 seconds
Method: Quick Sort, Data Size: 0, Time Taken: 0.000000 seconds
Method: Quick Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Quick Sort, Data Size: 2, Time Taken: 0.000997 seconds
Method: Quick Sort, Data Size: 5, Time Taken: 0.004180 seconds
Method: Quick Sort, Data Size: 8, Time Taken: 0.006501 seconds
Method: Quick Sort, Data Size: 0, Time Taken: 0.000000 seconds
Method: Quick Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Quick Sort, Data Size: 0, Time Taken: 0.000000 seconds
Method: Quick Sort, Data Size: 2, Time Taken: 0.001463 seconds
Method: Quick Sort, Data Size: 3, Time Taken: 0.002461 seconds
Method: Quick Sort, Data Size: 13, Time Taken: 0.009959 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 2, Time Taken: 0.001430 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 2, Time Taken: 0.001491 seconds
Method: Merge Sort, Data Size: 4, Time Taken: 0.004044 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 2, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 2, Time Taken: 0.005090 seconds
Method: Merge Sort, Data Size: 3, Time Taken: 0.005090 seconds
Method: Merge Sort, Data Size: 5, Time Taken: 0.006782 seconds
Method: Merge Sort, Data Size: 9, Time Taken: 0.011417 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 2, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 2, Time Taken: 0.000998 seconds
Method: Merge Sort, Data Size: 4, Time Taken: 0.004260 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 2, Time Taken: 0.000998 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 2, Time Taken: 0.001994 seconds
Method: Merge Sort, Data Size: 3, Time Taken: 0.005034 seconds
Method: Merge Sort, Data Size: 5, Time Taken: 0.008809 seconds
Method: Merge Sort, Data Size: 9, Time Taken: 0.014571 seconds
Method: Merge Sort, Data Size: 18, Time Taken: 0.026985 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 2, Time Taken: 0.001126 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 2, Time Taken: 0.000690 seconds
Method: Merge Sort, Data Size: 4, Time Taken: 0.003811 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 2, Time Taken: 0.001141 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 2, Time Taken: 0.000998 seconds
Method: Merge Sort, Data Size: 3, Time Taken: 0.001996 seconds
Method: Merge Sort, Data Size: 5, Time Taken: 0.004133 seconds
Method: Merge Sort, Data Size: 9, Time Taken: 0.008941 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 2, Time Taken: 0.000998 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 2, Time Taken: 0.000996 seconds
Method: Merge Sort, Data Size: 4, Time Taken: 0.003077 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 2, Time Taken: 0.001996 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 2, Time Taken: 0.000997 seconds
Method: Merge Sort, Data Size: 3, Time Taken: 0.001994 seconds
Method: Merge Sort, Data Size: 5, Time Taken: 0.004988 seconds
Method: Merge Sort, Data Size: 9, Time Taken: 0.010060 seconds
Method: Merge Sort, Data Size: 18, Time Taken: 0.019001 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 2, Time Taken: 0.001685 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
Method: Merge Sort, Data Size: 2, Time Taken: 0.003393 seconds
Method: Merge Sort, Data Size: 4, Time Taken: 0.007857 seconds
Method: Merge Sort, Data Size: 1, Time Taken: 0.000000 seconds
